Name,Type
Kirstie Eklund,Dairy
Pranay Ganaka,Dairy
Brenda Lund,Dairy
Takahiro McCarthy,Dairy
Isabella Moore,Dairy
Kanehiro Nishimura,Dairy
Conor Sato,Dairy
Saeed Sharma,Dairy
Sigrid Sorensen,Dairy
Joshua Yamada,Dairy
Lomash Agarwal,Oat
Paresh Babu,Oat
Lars Blomgren,Oat
Ashley Brown,Oat
Manfred Brunner,Oat
Ole Brunner,Oat
Britt Carlsen,Oat
Aesha Chunduri,Oat
Yui Collins,Oat
Tom Connolly,Oat
Chiyako Erikawa,Oat
Paige Hall,Oat
Gerik Ibsen,Oat
Leon Jensen,Oat
Soren Jensen,Oat
Stefan Kruse,Oat
Paulo Leger,Oat
Tuhin Lingutla,Oat
Leon Lund,Oat
Taylor McCarthy,Oat
Yui Moore,Oat
James Morris,Oat
Takumi Price,Oat
Carine Roussel,Oat
Abby Sato,Oat
Bianka Schulte,Oat
Kari Solberg,Oat
Lukas Solberg,Oat
Michael Solberg,Oat
Pantea Solberg,Oat
Thurston Sorensen,Oat
Jagan Achari,Pig
Tyr Bager,Pig
Florian Blomgren,Pig
Hallmar Blomgren,Pig
Gabriela Braun,Pig
Dane Carlsen,Pig
Ronan Collins,Pig
Emma Connolly,Pig
Nayan Dhirwan,Pig
Yojiro Fukuda,Pig
Peter Jung,Pig
Gabriela Lange,Pig
Tatsuya McCarthy,Pig
Ami Morris,Pig
Alice Pallesen,Pig
Per Peters,Pig
Marcel Solberg,Pig
Irina Sommer,Pig
Elsa Sorensen,Pig
Leif Sorensen,Pig
Tineka Sorensen,Pig
Britta Walther,Pig
Jade Wilson,Pig
Zara Wolf,Pig
Emily Yamada,Pig
Astrid Bager,Poultry
Anund Blomgren,Poultry
Sanna Blomgren,Poultry
Mason Brown,Poultry
Sten Carlsen,Poultry
Colin Collins,Poultry
Gaku Fujihara,Poultry
Alisha Gadhavi,Poultry
Malik Giraud,Poultry
Desmond Kimura,Poultry
Julia Madsen,Poultry
Krisha Mangal,Poultry
Ryouta Morris,Poultry
Nathan Pallesen,Poultry
Ole Sorensen,Poultry
Arne Bachmann,Sheep
Conrad Docherty,Sheep
Roselyne Georges,Sheep
Ren Jackson,Sheep
Edgar Kimura,Sheep
Ian Kimura,Sheep
Ross Morris,Sheep
Yvan Pereira,Sheep
Anushka Pillai,Sheep
Taahira Pillai,Sheep
Arvid Solberg,Sheep
